Cell line name,Compound A,Compound B,Max. conc. A,Max. conc. B,IC50 A,H A,Einf A,IC50 B,H B,Einf B,Synergy score,QA,Combination ID,Challenge,Dataset
BT-20,AKT,ADAM17,1,75,1,0.8090022,59.12243638,9.639713632,0.7579769,91.59342459,29.54039,1,ADAM17.AKT,ch1,train
CAL-120,AKT,ADAM17,1,75,0.183214322,2.5036777,60.41199948,1,0,100,4.40141,-1,ADAM17.AKT,ch1,train
CAL-51,AKT,ADAM17,1,75,1,0.7269842,11.15084267,75,0.3750427,76.65647869,0.3154222,1,ADAM17.AKT,ch1,train
DU-4475,AKT,ADAM17,1,75,0.321533382,10,58.59948747,75,1.9958658,6.17100653,-41.73409,-1,ADAM17.AKT,ch1,train
HCC1143,AKT,ADAM17,1,75,0.398673201,10,89.09889359,1,0,100,35.53277,-1,ADAM17.AKT,ch1,train
HCC1187,AKT,ADAM17,1,75,0.410029094,1.4969009,51.9212647,1,0,100,-0.801993,1,ADAM17.AKT,ch1,train
HCC1428,AKT,ADAM17,1,75,1,0,100,1,0,100,-26.50464,-1,ADAM17.AKT,ch1,train
HCC1806,AKT,ADAM17,1,75,0.313992099,10,63.39963528,75,0.39257,48.6500541,-26.73325,1,ADAM17.AKT,ch1,train
HCC1937,AKT,ADAM17,1,75,1,0.7718302,41.52955424,1.677923529,1.1194872,92.18802938,32.16552,1,ADAM17.AKT,ch1,train
HCC70,AKT,ADAM17,1,75,0.273313342,4.4425604,17.44189655,1,0,100,8.31689,1,ADAM17.AKT,ch1,train
MDA-MB-231,AKT,ADAM17,1,75,1,10,67.00001656,1,0,100,13.21102,1,ADAM17.AKT,ch1,train
MDA-MB-436,AKT,ADAM17,1,75,0.180147182,3.0950757,75.7680796,1,0,100,-4.212955,1,ADAM17.AKT,ch1,train
MDA-MB-453,AKT,ADAM17,1,75,0.282663543,2.2634551,34.21972294,1,0,100,16.0498,1,ADAM17.AKT,ch1,train
M14,AKT,ADAM17,1,75,0.276412346,3.7493134,36.29259006,0.0075,0.1,83.93705267,30.52659,1,ADAM17.AKT,ch1,train
BT-549,BCL2_BCL2L1,ADAM17,1,75,1.00E-04,0.1,79.2327182,0.0075,0.1,90.99552485,-7.039191,1,ADAM17.BCL2_BCL2L1,ch1,train
CAL-148,BCL2_BCL2L1,ADAM17,1,75,0.288908489,3.871862,35.47973076,1,0,100,-17.5228,-1,ADAM17.BCL2_BCL2L1,ch1,train
CAMA-1,BCL2_BCL2L1,ADAM17,1,75,1,0.3516074,65.8142818,0.0075,0.1,92.50811196,3.764896,1,ADAM17.BCL2_BCL2L1,ch1,train
DU-4475,BCL2_BCL2L1,ADAM17,1,75,0.008056722,10,0.07495373,37.43606425,1.3723419,30.85452463,3.335391,1,ADAM17.BCL2_BCL2L1,ch1,train
HCC1395,BCL2_BCL2L1,ADAM17,1,75,1,0.1410164,86.38158091,75,10,94.60023707,-1.784113,1,ADAM17.BCL2_BCL2L1,ch1,train
HCC1806,BCL2_BCL2L1,ADAM17,1,75,1,0,100,1,0,100,2.537269,1,ADAM17.BCL2_BCL2L1,ch1,train
HCC70,BCL2_BCL2L1,ADAM17,1,75,1,0,100,1,0,100,-12.64301,1,ADAM17.BCL2_BCL2L1,ch1,train
MDA-MB-157,BCL2_BCL2L1,ADAM17,1,75,0.333916014,0.6913991,76.91744732,0.0075,4.2347996,90.9,-2.891425,1,ADAM17.BCL2_BCL2L1,ch1,train
MDA-MB-231,BCL2_BCL2L1,ADAM17,1,75,0.715984947,0.8847617,38.57026538,1,0,100,-0.9071024,1,ADAM17.BCL2_BCL2L1,ch1,train
MDA-MB-436,BCL2_BCL2L1,ADAM17,1,75,1,10,76.00006623,1,0,100,-1.782822,1,ADAM17.BCL2_BCL2L1,ch1,train
MDA-MB-468,BCL2_BCL2L1,ADAM17,1,75,1,0.505492,25.21283178,1,0,100,-8.476032,1,ADAM17.BCL2_BCL2L1,ch1,train
MFM-223,BCL2_BCL2L1,ADAM17,1,75,0.351511036,10,61.79889402,1,0,100,-11.2459,1,ADAM17.BCL2_BCL2L1,ch1,train
BT-549,FGFR,ADAM17,1,75,0.055009017,0.4464461,54.09263958,0.0075,0.1,83.55205894,-11.91837,1,ADAM17.FGFR,ch1,train
CAL-120,FGFR,ADAM17,1,75,0.311347383,10,78.19974973,1,0,100,11.66448,-1,ADAM17.FGFR,ch1,train
CAL-148,FGFR,ADAM17,1,75,1,0,100,1,0,100,-48.27499,-1,ADAM17.FGFR,ch1,train
HCC1143,FGFR,ADAM17,1,75,1,0,100,0.0075,0.1,92.4045839,14.43257,1,ADAM17.FGFR,ch1,train
HCC1395,FGFR,ADAM17,1,75,0.013427301,1.5466845,47.80606311,75,10,94.0002773,3.629126,1,ADAM17.FGFR,ch1,train
HCC1937,FGFR,ADAM17,1,75,0.038940144,0.1,94.04001436,75,0.3084867,89.76930453,13.61246,1,ADAM17.FGFR,ch1,train
HCC38,FGFR,ADAM17,1,75,0.023901169,3.7962899,85.60681542,1,0,100,3.676564,1,ADAM17.FGFR,ch1,train
MDA-MB-157,FGFR,ADAM17,1,75,0.027859574,1.8030787,33.76023053,4.23547316,0.6425969,92.78937105,17.46127,1,ADAM17.FGFR,ch1,train
MDA-MB-231,FGFR,ADAM17,1,75,1,0,100,1,0,100,-7.882297,1,ADAM17.FGFR,ch1,train
MDA-MB-436,FGFR,ADAM17,1,75,1,3.0097488,82.01368751,2.089503643,2.383122,94.16472965,-18.15411,1,ADAM17.FGFR,ch1,train
MDA-MB-453,FGFR,ADAM17,1,75,0.235456711,10,29.2715289,16.44653795,10,93.55403117,-31.0305,1,ADAM17.FGFR,ch1,train
MDA-MB-468,FGFR,ADAM17,1,75,1.00E-04,0.1,88.92630966,1,0,100,-30.44405,1,ADAM17.FGFR,ch1,train
M14,FGFR,ADAM17,1,75,1,0,100,1,0,100,-32.69373,-1,ADAM17.FGFR,ch1,train
BT-549,MAP2K_1,ADAM17,1,75,1,0.9814525,81.02429198,1,0,100,-0.1462845,1,ADAM17.MAP2K_1,ch1,train
CAL-120,MAP2K_1,ADAM17,1,75,1,0,100,1,0,100,-42.75347,-1,ADAM17.MAP2K_1,ch1,train
CAL-148,MAP2K_1,ADAM17,1,75,0.011726036,2.1293813,92.37127575,1,0,100,-9.994246,1,ADAM17.MAP2K_1,ch1,train
CAMA-1,MAP2K_1,ADAM17,1,75,1,0,100,1,0,100,-1.800398,1,ADAM17.MAP2K_1,ch1,train
DU-4475,MAP2K_1,ADAM17,1,75,0.020731106,2.0999805,0,34.79576036,0.5542895,0,13.91472,1,ADAM17.MAP2K_1,ch1,train
HCC1143,MAP2K_1,ADAM17,1,75,0.043476892,1.4064031,67.02537454,0.737686901,10,89.09999872,16.41538,1,ADAM17.MAP2K_1,ch1,train
HCC1187,MAP2K_1,ADAM17,1,75,0.2216958,0.4144753,21.95251432,1,0,100,-15.21563,1,ADAM17.MAP2K_1,ch1,train
HCC1395,MAP2K_1,ADAM17,1,75,0.076732378,0.7601594,76.19423244,75,0.4515384,86.36457426,5.722309,1,ADAM17.MAP2K_1,ch1,train
HCC1937,MAP2K_1,ADAM17,1,75,0.025349307,1.5962705,85.57410212,75,0.2035039,88.7905746,11.9905,1,ADAM17.MAP2K_1,ch1,train
HCC38,MAP2K_1,ADAM17,1,75,1,0,100,1,0,100,5.742608,1,ADAM17.MAP2K_1,ch1,train
Hs-578-T,MAP2K_1,ADAM17,1,75,0.262002742,2.0145703,76.11308178,1,0,100,-20.70996,-1,ADAM17.MAP2K_1,ch1,train
MDA-MB-436,MAP2K_1,ADAM17,1,75,0.225686973,0.5339835,43.78283732,1,0,100,0.01351545,1,ADAM17.MAP2K_1,ch1,train
MDA-MB-453,MAP2K_1,ADAM17,1,75,1,0,100,0.0075,0.1,94.51706033,-41.87792,1,ADAM17.MAP2K_1,ch1,train
BT-20,MTOR_1,ADAM17,1,75,0.605687563,1.2654588,0,75,0.8477869,68.22682053,18.30981,1,ADAM17.MTOR_1,ch1,train
CAL-120,MTOR_1,ADAM17,1,75,0.28942193,10,49.89937288,1,0,100,2.971336,-1,ADAM17.MTOR_1,ch1,train
CAMA-1,MTOR_1,ADAM17,1,75,0.485716842,1.5216843,4.35688537,0.0075,0.1,88.88012885,-10.6617,1,ADAM17.MTOR_1,ch1,train
DU-4475,MTOR_1,ADAM17,1,75,0.204543966,2.5341734,21.5668768,39.48870844,0.843183,0,28.03853,1,ADAM17.MTOR_1,ch1,train
HCC1143,MTOR_1,ADAM17,1,75,0.353192107,10,62.6988555,1,0,100,6.215895,-1,ADAM17.MTOR_1,ch1,train
HCC1187,MTOR_1,ADAM17,1,75,0.266598382,10,13.5989091,1,0,100,-5.601741,1,ADAM17.MTOR_1,ch1,train
HCC1395,MTOR_1,ADAM17,1,75,0.696868982,0.7587955,0,47.61171748,0.1,76.01912514,3.001454,1,ADAM17.MTOR_1,ch1,train
HCC1428,MTOR_1,ADAM17,1,75,0.325342324,10,50.59933862,1,0,100,5.565547,1,ADAM17.MTOR_1,ch1,train
HCC1806,MTOR_1,ADAM17,1,75,0.347728705,1.2629858,0,1,0,100,48.54537,1,ADAM17.MTOR_1,ch1,train
HCC38,MTOR_1,ADAM17,1,75,1,10,62.80006635,1,0,100,1.089017,-1,ADAM17.MTOR_1,ch1,train
MDA-MB-231,MTOR_1,ADAM17,1,75,0.402675902,0.937076,16.1590358,1,0,100,13.15388,1,ADAM17.MTOR_1,ch1,train
MDA-MB-436,MTOR_1,ADAM17,1,75,0.195210716,3.1610905,28.63606438,1,0,100,6.743824,1,ADAM17.MTOR_1,ch1,train
MDA-MB-453,MTOR_1,ADAM17,1,75,0.274518195,10,14.5990224,1,0,100,-11.08194,1,ADAM17.MTOR_1,ch1,train
M14,MTOR_1,ADAM17,1,75,0.279845155,2.294865,63.76651475,75,0.2561658,75.71755699,28.46191,-3,ADAM17.MTOR_1,ch1,train
CAL-120,PIK3C,ADAM17,1,75,1,10,76.6003399,1,0,100,-27.5289,-1,ADAM17.PIK3C,ch1,train
CAL-148,PIK3C,ADAM17,1,75,0.323156334,10,51.89935334,1,0,100,8.840474,-1,ADAM17.PIK3C,ch1,train
CAMA-1,PIK3C,ADAM17,1,75,1,1.9510265,7.0333385,0.615639894,0.6087861,91.55943613,-7.76057,1,ADAM17.PIK3C,ch1,train
HCC1143,PIK3C,ADAM17,1,75,0.325857111,10,67.79952442,1,0,100,17.38199,-1,ADAM17.PIK3C,ch1,train
HCC1806,PIK3C,ADAM17,1,75,0.327702197,10,26.49892877,1,0,100,80.9991,1,ADAM17.PIK3C,ch1,train
HCC70,PIK3C,ADAM17,1,75,0.359904181,10,42.59790667,1,0,100,36.66062,1,ADAM17.PIK3C,ch1,train
Hs-578-T,PIK3C,ADAM17,1,75,0.238743003,2.7378506,51.67335823,75,10,71.20048099,-3.101995,-1,ADAM17.PIK3C,ch1,train
MDA-MB-157,PIK3C,ADAM17,1,75,0.213489145,0.8908223,54.80015184,33.76955423,1.397694,92.88769551,34.97328,1,ADAM17.PIK3C,ch1,train
MDA-MB-231,PIK3C,ADAM17,1,75,0.180376202,0.8966292,63.60149112,75,0.3864103,87.8022141,5.78087,1,ADAM17.PIK3C,ch1,train
MDA-MB-453,PIK3C,ADAM17,1,75,0.217106729,2.8991948,13.0986261,1,0,100,11.19242,1,ADAM17.PIK3C,ch1,train
MDA-MB-468,PIK3C,ADAM17,1,75,1,0,100,1,0,100,-11.91822,1,ADAM17.PIK3C,ch1,train
MFM-223,PIK3C,ADAM17,1,75,0.244419289,1.6967242,40.11335669,75,1.8437271,83.95964752,2.272833,1,ADAM17.PIK3C,ch1,train
M14,PIK3C,ADAM17,1,75,0.308036694,10,55.09962372,0.0075,0.1,94.2352171,37.07141,1,ADAM17.PIK3C,ch1,train
CAL-148,PIK3CB_PIK3CD,ADAM17,1,75,0.331855714,2.698131,17.086469,1,0,100,-22.06479,1,ADAM17.PIK3CB_PIK3CD,ch1,train
HCC1143,PIK3CB_PIK3CD,ADAM17,1,75,0.221232701,0.7390243,61.40457616,0.88526659,10,84.99989563,34.24538,1,ADAM17.PIK3CB_PIK3CD,ch1,train
HCC1187,PIK3CB_PIK3CD,ADAM17,1,75,0.309892385,10,74.4997625,1,0,100,3.157859,1,ADAM17.PIK3CB_PIK3CD,ch1,train
HCC1395,PIK3CB_PIK3CD,ADAM17,1,75,0.088649987,0.3479042,41.86456382,75,1.0666862,83.89581448,10.67811,1,ADAM17.PIK3CB_PIK3CD,ch1,train
HCC1428,PIK3CB_PIK3CD,ADAM17,1,75,1,0,100,1,0,100,8.341717,1,ADAM17.PIK3CB_PIK3CD,ch1,train
HCC1806,PIK3CB_PIK3CD,ADAM17,1,75,0.186067205,1.6790956,90.48303234,75,0.1905866,91.42221993,2.673332,1,ADAM17.PIK3CB_PIK3CD,ch1,train
HCC38,PIK3CB_PIK3CD,ADAM17,1,75,0.128411677,1.1401404,83.14393235,1,0,100,12.29698,1,ADAM17.PIK3CB_PIK3CD,ch1,train
Hs-578-T,PIK3CB_PIK3CD,ADAM17,1,75,1,0.3251117,27.55487037,0.0075,0.1,71.47072724,8.182737,1,ADAM17.PIK3CB_PIK3CD,ch1,train
MDA-MB-157,PIK3CB_PIK3CD,ADAM17,1,75,1,0.219944,0.96308739,0.729082264,10,87.89998986,4.985632,1,ADAM17.PIK3CB_PIK3CD,ch1,train
MDA-MB-468,PIK3CB_PIK3CD,ADAM17,1,75,1.00E-04,0.1,94.07450183,1,0,100,13.55083,1,ADAM17.PIK3CB_PIK3CD,ch1,train
MFM-223,PIK3CB_PIK3CD,ADAM17,1,75,1,0.3926152,45.66550563,0.765201846,10,91.99998861,-15.22839,1,ADAM17.PIK3CB_PIK3CD,ch1,train
M14,PIK3CB_PIK3CD,ADAM17,1,75,0.475349779,0.6757956,0,0.461424392,1.4729437,82.67273131,31.87283,1,ADAM17.PIK3CB_PIK3CD,ch1,train
CAMA-1,AKT_1,AKT,1,1,0.204065844,1.4750579,47.97346672,0.18219236,2.529306,33.50489924,13.01508,1,AKT.AKT_1,ch1,train
MDA-MB-175-VII,AKT_1,AKT,1,1,0.232749752,3.4820866,41.34014977,0.295593619,10,44.4995876,-62.45628,-1,AKT.AKT_1,ch1,train
UACC-812,AKT_1,AKT,1,1,1,0,100,1,0,100,26.35574,-3,AKT.AKT_1,ch1,train
BFTC-905,ATR_4,AKT,3,3,0.980861481,1.9514052,0.87198217,0.431346599,1.3683925,29.29772121,-14.1991,1,AKT.ATR_4,ch1,train
HT-1197,ATR_4,AKT,3,1,3,0.7437595,18.50990044,0.119006782,1.1677708,48.62600643,-12.90671,1,AKT.ATR_4,ch1,train
HT-1376,ATR_4,AKT,3,3,0.99706367,10,38.8989183,0.184472029,0.707903,23.29124178,6.599677,1,AKT.ATR_4,ch1,train
J82,ATR_4,AKT,3,3,0.781541949,2.760254,42.96683842,0.716815045,1.2008159,27.17444691,1.473032,1,AKT.ATR_4,ch1,train
KU-19-19,ATR_4,AKT,3,3,2.861548235,10,0,1,0,100,-110.0582,-1,AKT.ATR_4,ch1,train
SW780,ATR_4,AKT,3,3,3,0.8249136,78.10303711,0.292447559,1.4247541,19.475666,-10.00055,1,AKT.ATR_4,ch1,train
T-24,ATR_4,AKT,3,3,1.024919271,10,7.69795337,1,0,100,-26.02004,1,AKT.ATR_4,ch1,train
TCCSUP,ATR_4,AKT,3,3,0.640795998,2.1107639,19.07506049,0.510841254,0.7630883,52.13376867,-9.940468,1,AKT.ATR_4,ch1,train
Calu-3,CSNK2A1_2,AKT,0.03,3,0.03,10,3.00001367,1.313229575,10,47.98656567,-29.08981,-1,AKT.CSNK2A1_2,ch1,train
Calu-6,CSNK2A1_2,AKT,0.03,3,0.010394843,1.3717221,0,0.03633312,1.0720487,70.01248118,73.02446,1,AKT.CSNK2A1_2,ch1,train
DMS-114,CSNK2A1_2,AKT,0.03,3,0.006695559,2.5214477,13.72056572,2.269013389,1.0746787,0,2.965218,1,AKT.CSNK2A1_2,ch1,train
NCI-H1437,CSNK2A1_2,AKT,0.1,3,0.009332192,2.9569306,13.12352278,1.950900898,2.33301,0,84.61169,1,AKT.CSNK2A1_2,ch1,train
NCI-H1703,CSNK2A1_2,AKT,0.1,3,0.010632726,3.2111803,11.33381982,0.006865193,0.6639496,9.70857688,20.9673,1,AKT.CSNK2A1_2,ch1,train
NCI-H1793,CSNK2A1_2,AKT,0.1,3,0.011763718,1.6387627,5.02876153,3,1.1922244,44.49546473,86.79528,1,AKT.CSNK2A1_2,ch1,train
NCI-H2085,CSNK2A1_2,AKT,0.03,3,0.015271873,1.0418354,3.10995756,3,0.6219385,13.14693631,27.41059,1,AKT.CSNK2A1_2,ch1,train
NCI-H2228,CSNK2A1_2,AKT,0.1,3,0.03012002,0.7363036,0,0.346264705,0.5907502,0,42.21827,1,AKT.CSNK2A1_2,ch1,train
NCI-H226,CSNK2A1_2,AKT,0.1,3,0.00469598,1.9189471,0,0.217059459,0.395664,0,64.27931,-2,AKT.CSNK2A1_2,ch1,train
NCI-H23,CSNK2A1_2,AKT,0.1,3,0.006210403,1.1627392,5.59894814,0.349213203,0.3620847,0,24.16315,1,AKT.CSNK2A1_2,ch1,train
NCI-H520,CSNK2A1_2,AKT,0.03,3,0.007807537,0.9154605,0,0.54896783,0.9130528,34.54187734,15.52841,1,AKT.CSNK2A1_2,ch1,train
NCI-H522,CSNK2A1_2,AKT,0.03,3,0.003040817,10,7.34964368,0.175966979,0.4201401,0,25.75817,1,AKT.CSNK2A1_2,ch1,train
CAMA-1,Chloroquine,AKT,1,1,1,0,100,0.154730759,3.4646384,42.06744168,13.53424,1,AKT.Chloroquine,ch1,train
HCC1419,Chloroquine,AKT,1,1,1,0,100,0.303735336,10,56.29970238,-24.00694,-1,AKT.Chloroquine,ch1,train
HCC1500,Chloroquine,AKT,1,1,0.356286842,10,71.69906182,1,1.4519821,34.25977111,4.386597,1,AKT.Chloroquine,ch1,train
MCF7,Chloroquine,AKT,1,1,1,0,100,0.335637982,10,71.89948929,24.88766,1,AKT.Chloroquine,ch1,train
MDA-MB-175-VII,Chloroquine,AKT,1,1,1,0,100,0.323680684,10,49.79926474,-72.85194,-1,AKT.Chloroquine,ch1,train
UACC-812,Chloroquine,AKT,1,1,1.00E-04,0.1,75.7725,1.00E-04,0.1,86.37681855,-8.967205,-3,AKT.Chloroquine,ch1,train
647-V,ERBB,AKT,0.1,3,0.1,0.8486178,49.82420243,0.407100412,1.3522296,4.19654909,-1.172512,1,AKT.ERBB,ch1,train
BFTC-905,ERBB,AKT,3,3,1,0,100,0.304681813,10,54.69988135,114.3452,1,AKT.ERBB,ch1,train
HT-1376,ERBB,AKT,1,3,0.09903298,0.8718467,45.59204666,0.185525235,0.7176284,30.00263589,58.82512,1,AKT.ERBB,ch1,train
J82,ERBB,AKT,3,3,3.00E-04,0.1,86.13549347,1.505053852,0.7122453,0,23.4819,1,AKT.ERBB,ch1,train
KU-19-19,ERBB,AKT,3,3,1,0,100,1,0,100,-138.7725,-1,AKT.ERBB,ch1,train
