CELL_LINE	TISSUE	COMPOUND_A	COMPOUND_B	MAX_CONC_A	IC50_A	H_A	Einf_A	MAX_CONC_B	IC50_B	H_B	Einf_B	SYNERGY_SCORE	COMBINATION_ID	DATASET	SYNERGY_PRED
BT-20	breast	AKT	ADAM17	1	1	0.8090022	59.12243638	75	9.639713632	0.7579769	91.59342459	29.54039	ADAM17.AKT	train	15.86671
CAL-51	breast	AKT	ADAM17	1	1	0.7269842	11.15084267	75	75	0.3750427	76.65647869	0.3154222	ADAM17.AKT	train	6.4856863
HCC1187	breast	AKT	ADAM17	1	0.410029094	1.4969009	51.9212647	75	1	0	100	-0.801993	ADAM17.AKT	train	3.888128
HCC1806	breast	AKT	ADAM17	1	0.313992099	10	63.39963528	75	75	0.39257	48.6500541	-26.73325	ADAM17.AKT	train	5.6968913
HCC1937	breast	AKT	ADAM17	1	1	0.7718302	41.52955424	75	1.677923529	1.1194872	92.18802938	32.16552	ADAM17.AKT	train	10.733129
HCC70	breast	AKT	ADAM17	1	0.273313342	4.4425604	17.44189655	75	1	0	100	8.31689	ADAM17.AKT	train	7.269178
MDA-MB-231	breast	AKT	ADAM17	1	1	10	67.00001656	75	1	0	100	13.21102	ADAM17.AKT	train	11.231955
MDA-MB-436	breast	AKT	ADAM17	1	0.180147182	3.0950757	75.7680796	75	1	0	100	-4.212955	ADAM17.AKT	train	4.455845
MDA-MB-453	breast	AKT	ADAM17	1	0.282663543	2.2634551	34.21972294	75	1	0	100	16.0498	ADAM17.AKT	train	6.9875083
M14	melanoma	AKT	ADAM17	1	0.276412346	3.7493134	36.29259006	75	0.0075	0.1	83.93705267	30.52659	ADAM17.AKT	train	14.997987
BT-549	breast	BCL2_BCL2L1	ADAM17	1	0.0001	0.1	79.2327182	75	0.0075	0.1	90.99552485	-7.039191	ADAM17.BCL2_BCL2L1	train	-4.2329674
CAMA-1	breast	BCL2_BCL2L1	ADAM17	1	1	0.3516074	65.8142818	75	0.0075	0.1	92.50811196	3.764896	ADAM17.BCL2_BCL2L1	train	-1.3483682
DU-4475	breast	BCL2_BCL2L1	ADAM17	1	0.008056722	10	0.07495373	75	37.43606425	1.3723419	30.85452463	3.335391	ADAM17.BCL2_BCL2L1	train	0.6926939
HCC1395	breast	BCL2_BCL2L1	ADAM17	1	1	0.1410164	86.38158091	75	75	10	94.60023707	-1.784113	ADAM17.BCL2_BCL2L1	train	-6.1211224
HCC1806	breast	BCL2_BCL2L1	ADAM17	1	1	0	100	75	1	0	100	2.537269	ADAM17.BCL2_BCL2L1	train	3.4707763
HCC70	breast	BCL2_BCL2L1	ADAM17	1	1	0	100	75	1	0	100	-12.64301	ADAM17.BCL2_BCL2L1	train	-6.693155
MDA-MB-157	breast	BCL2_BCL2L1	ADAM17	1	0.333916014	0.6913991	76.91744732	75	0.0075	4.2347996	90.9	-2.891425	ADAM17.BCL2_BCL2L1	train	4.3924823
MDA-MB-231	breast	BCL2_BCL2L1	ADAM17	1	0.715984947	0.8847617	38.57026538	75	1	0	100	-0.9071024	ADAM17.BCL2_BCL2L1	train	6.7104707
MDA-MB-436	breast	BCL2_BCL2L1	ADAM17	1	1	10	76.00006623	75	1	0	100	-1.782822	ADAM17.BCL2_BCL2L1	train	-3.9050636
MDA-MB-468	breast	BCL2_BCL2L1	ADAM17	1	1	0.505492	25.21283178	75	1	0	100	-8.476032	ADAM17.BCL2_BCL2L1	train	2.8294134
MFM-223	breast	BCL2_BCL2L1	ADAM17	1	0.351511036	10	61.79889402	75	1	0	100	-11.2459	ADAM17.BCL2_BCL2L1	train	-3.2190142
BT-549	breast	FGFR	ADAM17	1	0.055009017	0.4464461	54.09263958	75	0.0075	0.1	83.55205894	-11.91837	ADAM17.FGFR	train	-8.749548
HCC1143	breast	FGFR	ADAM17	1	1	0	100	75	0.0075	0.1	92.4045839	14.43257	ADAM17.FGFR	train	-6.4706054
HCC1395	breast	FGFR	ADAM17	1	0.013427301	1.5466845	47.80606311	75	75	10	94.0002773	3.629126	ADAM17.FGFR	train	-0.36265236
HCC1937	breast	FGFR	ADAM17	1	0.038940144	0.1	94.04001436	75	75	0.3084867	89.76930453	13.61246	ADAM17.FGFR	train	7.68677
HCC38	breast	FGFR	ADAM17	1	0.023901169	3.7962899	85.60681542	75	1	0	100	3.676564	ADAM17.FGFR	train	-6.9074836
MDA-MB-157	breast	FGFR	ADAM17	1	0.027859574	1.8030787	33.76023053	75	4.23547316	0.6425969	92.78937105	17.46127	ADAM17.FGFR	train	7.4742727
MDA-MB-231	breast	FGFR	ADAM17	1	1	0	100	75	1	0	100	-7.882297	ADAM17.FGFR	train	-9.844575
MDA-MB-436	breast	FGFR	ADAM17	1	1	3.0097488	82.01368751	75	2.089503643	2.383122	94.16472965	-18.15411	ADAM17.FGFR	train	-11.088465
MDA-MB-453	breast	FGFR	ADAM17	1	0.235456711	10	29.2715289	75	16.44653795	10	93.55403117	-31.0305	ADAM17.FGFR	train	-10.215051
MDA-MB-468	breast	FGFR	ADAM17	1	0.0001	0.1	88.92630966	75	1	0	100	-30.44405	ADAM17.FGFR	train	-8.54366
BT-549	breast	MAP2K_1	ADAM17	1	1	0.9814525	81.02429198	75	1	0	100	-0.1462845	ADAM17.MAP2K_1	train	-6.8129644
CAL-148	breast	MAP2K_1	ADAM17	1	0.011726036	2.1293813	92.37127575	75	1	0	100	-9.994246	ADAM17.MAP2K_1	train	-5.893533
