Compound	Target	Function	Pathway
ADAM17	ADAM17	Differentiation	EMT/migration
AKT	"AKT1;AKT2;AKT3"	Oncogenic signal	AKT/PI3K
AKT_1	AKT*	Oncogenic signal	AKT/PI3K
AKT_PIK3C	"AKT*;PIK3C*"	Oncogenic signal	AKT/PI3K
AKT_SGK	"AKT*;SGK*"	Oncogenic signal	AKT/PI3K
ALK	ALK	Oncogenic signal	AKT/PI3K
ALK_2	ALK	Oncogenic signal	RTK
ALK_IGFR	"ALK;IGF*R"	Oncogenic signal	AKT/PI3K
AR	AR	Oncogenic signal	Hormonal
AR_1	AR	Oncogenic signal	Hormonal
ATM	ATM	DNA repair	DNA Damage Response
ATR_1	ATR	DNA repair	DNA Damage Response
ATR_2	ATR	DNA repair	DNA Damage Response
ATR_3	ATR	DNA repair	DNA Damage Response
ATR_4	ATR	DNA repair	DNA Damage Response
Azacytidine	Methylation	Differentiation	Epigenetic
BCL2	BCL2	Cell death	Apoptosis
BCL2_2	BCL2	Cell death	Apoptosis
BCL2_3	BCL2	Cell death	Apoptosis
BCL2_BCL2L1	"BCL2;BCL2L1"	Cell death	Apoptosis
BCL2_BCL2L1_BCL2L2	"BCL2;BCL2L1;BCL2L2"	Cell death	Apoptosis
BCL2L1	BCL2L1	Cell death	Apoptosis
BIRC5	BIRC5	Cell death	Apoptosis
BRAF_2	BRAF	Oncogenic signal	MAPK
BRAF_M	BRAF_mut	Oncogenic signal	MAPK
BRAF_M2	BRAF_V600E	Oncogenic signal	MAPK
BRAF_VEGFR2	"BRAF;VEGFR2"	Oncogenic signal	MAPK
Carboplatin	DNA	DNA repair	Chemo
CarboTaxol	DNA	DNA repair	Chemo
CD19	CD19 antibody	Differentiation	EMT/migration
CHEK1	CHEK1	DNA repair	DNA Damage Response
Chloroquine	Thiamine	other	other
Cisplatin	DNA	DNA repair	Chemo
CSNK2A1	CSNK2A1	Oncogenic signal	STK
CSNK2A1_2	CSNK2A1	Oncogenic signal	STK
Docetaxel	"TUBB1;BCL2;MAP2;MAP4;MAPT;NR1I2"	DNA repair	Chemo
Doxorubicin	"TOP*;DNMT1"	DNA repair	Chemo
EG5	KIF11	Differentiation	EMT/migration
EGFR	EGFR	Oncogenic signal	RTK
EGFR_2	EGFR	Oncogenic signal	RTK
ERBB	"EGFR;ERBB*"	Oncogenic signal	RTK
ESR1	ESR1	Oncogenic signal	Hormonal
ESR1_1	ESR1	Oncogenic signal	Hormonal
ESR1_2	ESR1	Oncogenic signal	Hormonal
ESR1_3	ESR1	Oncogenic signal	Hormonal
FASN	FASN	Metabolism	Metabolism
FGFR	"FGFR1;FGFR2;FGFR3"	Oncogenic signal	RTK
FGFR4	FGFR4	Oncogenic signal	RTK
FNTA_FNTB	"FNTA;FNTB"	Metabolism	Metabolism
FOLFIRI	DNA	DNA repair	Chemo
FOLFOX	DNA	DNA repair	Chemo
Gemcitabine	"DNA;RRM1;TYMS;CMPK1"	Cell death	Chemo
gSEC	Gamma secretase	Differentiation	EMT/migration
HDAC_4	HDAC*	Differentiation	Epigenetic
HDAC1_HDAC3	"HDAC1;HDAC3"	Differentiation	Epigenetic
HSP90	HSP90AA1	Cell death	Apoptosis
IAP	"NIAP;XIAP;BIRC2;BIRC3"	Cell death	Apoptosis
IAP_2	"NIAP;XIAP;BIRC2;BIRC3"	Cell death	Apoptosis
IGFR_2	IGF*R	Oncogenic signal	RTK
IGFR_3	IGF*R	Oncogenic signal	RTK
IGFR_4	IGF*R	Oncogenic signal	RTK
IKBK	"CHUK;IKBK*"	Cell death	Apoptosis
JAK	"JAK1;JAK2"	Oncogenic signal	Cell Cycle
MAP2K	"MAP2K1;MAP2K2"	Oncogenic signal	MAPK
MAP2K_1	"MAP2K1;MAP2K2"	Oncogenic signal	MAPK
MAP2K_2	MAP2K*	Oncogenic signal	MAPK
MAP2K_3	MAP2K*	Oncogenic signal	MAPK
MAP2K_RAF	"MAP2K1;MAP2K2;RAF1;BRAF"	Oncogenic signal	MAPK
MET	cMET	Oncogenic signal	RTK
MET_2	MET	Oncogenic signal	RTK
MET_ALK	"cMET;ALK"	Oncogenic signal	RTK
MTOR	MTOR	Oncogenic signal	AKT/PI3K
MTOR_1	MTOR	Oncogenic signal	AKT/PI3K
MTOR_2	MTOR	Oncogenic signal	AKT/PI3K
