Model,Train WPC,Test WPC,LB WPC
Linear Regression,0.3347568684429265,0.2423131865760244,0.2643225768618327
Ridge Regression,0.33472625403011963,0.2418577999507262,0.2700830580039124
Lasso Regression,0.12864063676196927,0.09786487827294865,0.10530348075667657
ElasticNet Regression,0.159266359936652,0.13165227000668978,0.11619974851179507
Bayesian Ridge Regression,0.33220265548177497,0.24341964105329145,0.27120027482981257
Stochastic Gradient Descent,0.3311421053516008,0.24181421277183848,0.2479793609326833
Decision Tree,1.0,0.11084517334397812,0.06307977137971933
Random Forest,0.9701374808565446,0.32045963800378247,0.2751443237396692
Extra Trees,1.0,0.306711540247219,0.2840322107100702
AdaBoost,0.34043994719035753,0.22387303204393721,0.2167018052431865
Gradient Boosting,0.6472596657259562,0.3036696283205728,0.20722583208345238
XGBRegressor,0.9974535790747806,0.32622650593629526,0.193463240229351
Support Vector Regression,0.3199281689449957,0.19302101846984984,0.2456549249284399
Gaussian Process,1.0,0.24017170381793604,0.14756121437973047
