Model,Train WPC,Test WPC,LB WPC
Linear Regression,0.3216313587707673,0.22653758545156252,0.23040173068056083
Ridge Regression,0.3218388528217482,0.2297047203493332,0.23025231336318658
Lasso Regression,0.2581482252472918,0.14229989630228673,0.1959012446842106
ElasticNet Regression,0.28100900792246214,0.1641292808924439,0.23453479500594254
Bayesian Ridge Regression,0.3147335363096175,0.20971958080142897,0.27735185827522246
Stochastic Gradient Descent,0.32036478057616813,0.2199001172551303,0.2639763996606499
Decision Tree,1.0,0.05966036668381429,0.09315762260749208
Random Forest,0.973124724265025,0.29850317001415677,0.268306602403874
Extra Trees,1.0,0.28049342126650517,0.279819239180795
AdaBoost,0.26178546145732856,0.10973597544329605,0.13586570300281667
Gradient Boosting,0.6744038393077074,0.24859240204604044,0.24512979357115156
XGBRegressor,0.9981982036756466,0.28183252697750505,0.254992056113944
Support Vector Regression,0.37158846948514523,0.15644429826087347,0.27112175033018804
Gaussian Process,1.0,0.04314887309722025,0.09871911590724708
