Model,Train WPC,Test WPC,LB WPC
Linear Regression,0.3384659264821795,0.24685266395718045,0.2255453439902856
Ridge Regression,0.34374584819888665,0.24978502115746143,0.22245584676072844
Lasso Regression,0.12566545052399503,0.09244457349309401,0.10107205365293437
ElasticNet Regression,0.12547684514384616,0.10632990503689894,0.0854946695704552
Bayesian Ridge Regression,0.3409662069853687,0.25185520895076363,0.22562372247554327
Stochastic Gradient Descent,0.3397912933746701,0.24885033626127628,0.22664462802012053
Decision Tree,1.0,0.13109880192117782,0.0507541189510616
Random Forest,0.9715111629602093,0.2909929197126497,0.27718897491632466
Extra Trees,1.0,0.2980309898457644,0.29425300288629386
AdaBoost,0.2978784279495651,0.16804478577117635,0.20061838901364845
Gradient Boosting,0.67331162259308,0.2824818978168865,0.20482708861949506
XGBRegressor,0.9977052102508138,0.22231959231417536,0.18727828314745967
Support Vector Regression,0.2859382901331616,0.15702464136743272,0.2278655925081596
Gaussian Process,1.0,0.2335462048023181,0.14483013765956107
