Model,Train WPC,Test WPC,LB WPC
Linear Regression,0.12145884926247623,0.07877330377034056,0.09548860921184456
Ridge Regression,0.12143626909717772,0.07868855171076342,0.09548258131835693
Lasso Regression,0.10565252801989898,0.04715228292051177,0.103494813859223
ElasticNet Regression,0.1041953075601362,0.06414351470594569,0.08425462118543968
Bayesian Ridge Regression,0.11465948783348365,0.07139455332968046,0.07738623331039864
Stochastic Gradient Descent,0.010274911543777738,0.060968160039602856,0.08725176696098579
Decision Tree,1.0,0.0685990409507796,0.1285335713299884
Random Forest,0.9629939642088338,0.18932261611930387,0.23144699289111326
Extra Trees,1.0,0.18704628101586637,0.1658668324283954
AdaBoost,0.2366109434573884,0.0744851021323697,0.07166392672774714
Gradient Boosting,0.5431068082868079,0.1552985032531221,0.15425962159660203
XGBRegressor,0.9835874184522593,0.21062676233771752,0.2088818251088412
Support Vector Regression,0.04283061545177663,0.05722964785085465,0.10838712174809036
Gaussian Process,1.0,0.0016984238396768566,0.10587318986297833
