Model,Train WPC,Test WPC,LB WPC
Linear Regression,0.35613386001400793,0.26835706519286234,0.2696034681978815
Ridge Regression,0.3568704974722901,0.2662938543420728,0.2714269053590443
Lasso Regression,0.12689918544960707,0.0956242715431806,0.10286726220706509
ElasticNet Regression,0.12972600638012421,0.11053314227835348,0.09754474605968912
Bayesian Ridge Regression,0.34317148678843323,0.25712591714575295,0.2577778049009935
Stochastic Gradient Descent,0.34974725528952455,0.2548758642869553,0.2761691671309992
Decision Tree,1.0,0.06558031722035983,0.01570433646263968
Random Forest,0.9629832719084587,0.24172093127049535,0.24043700490969955
Extra Trees,1.0,0.2662911043346866,0.21496026447590402
AdaBoost,0.17237778773640966,0.11372912784940963,0.11281601899434078
Gradient Boosting,0.5523341609541313,0.23830883626516858,0.22570456396956567
XGBRegressor,0.928966461261192,0.24005967851708307,0.23488921614024705
Support Vector Regression,0.26081772908500556,0.138574190957154,0.19266565524523221
Gaussian Process,1.0,0.13153442955413175,0.10054864770131648
